REG,RATING,DATE,ORDER
6534755,36,25/11/2011,9
6534755,18,29/03/2011,10
6534755,-18,01/01/2011,11
6534755,1,18/12/2010,12
6534755,4,04/12/2010,13
6534755,3,26/08/2010,14
6534755,13,17/03/2010,15
6534755,25,28/09/2009,16
6534755,26,23/09/2009,17
6534755,-19,13/08/2009,18
6534755,38,20/02/2009,19
6534755,55,12/09/2008,20
6534755,80,05/08/2008,21
6534755,-4,19/03/2008,22
6534755,-9,18/03/2008,23
6542655,55,17/10/2017,1
6542655,67,03/07/2017,2
6542655,68,28/03/2017,3
6542655,61,25/06/2016,4
6542655,43,03/07/2015,5
6542655,58,02/09/2014,6
6542655,62,24/08/2014,7
6542655,22,04/07/2014,8
6542655,31,02/07/2014,9
6542655,9,21/06/2014,10
6542655,31,28/06/2013,11
6542655,9,22/06/2013,12
6542655,31,26/04/2013,13
6542655,30,27/06/2012,14
6542655,9,16/06/2012,15
6542655,30,02/07/2010,16
6542655,-30,08/02/2010,17
6542655,-17,29/01/2010,18
6542655,36,28/04/2009,19
6542655,38,24/04/2009,20
6542655,35,20/02/2009,21
6542655,50,12/09/2008,22
6542655,73,05/08/2008,23
6542655,-4,28/03/2008,24
6542655,-9,27/03/2008,25
6617124,-29,20/02/2018,1
6617124,-26,13/02/2018,2
6617124,67,03/11/2017,3
6617124,86,08/03/2017,4
6617124,41,06/04/2016,5
6617124,67,04/04/2016,6
6617124,-18,01/04/2016,7
6617124,67,06/05/2015,8
6617124,50,28/04/2015,9
6617124,67,09/02/2015,10
6617124,79,24/09/2014,11
6617124,94,02/09/2014,12
6617124,79,24/08/2014,13
6617124,92,10/09/2013,14
6617124,93,06/08/2013,15
6617124,90,26/02/2013,16
6617124,89,04/09/2012,17
6617124,88,18/01/2012,18
6617124,80,09/01/2012,19
6617124,88,16/09/2011,20
6617124,94,23/08/2011,21
6617124,82,02/12/2010,22
6617124,69,01/12/2010,23
6617124,70,19/06/2010,24
6617124,-17,16/06/2010,25
6617124,10,12/02/2010,26
6617124,23,27/11/2009,27
6617124,24,14/10/2009,28
6617124,40,24/07/2009,29
6617124,26,20/02/2009,30
6617124,40,13/09/2008,31
6617124,-9,13/06/2008,32
6631350,52,28/09/2016,1
6631350,63,23/09/2015,2
6631350,52,22/09/2015,3
6631350,63,02/09/2014,4
6631350,59,24/08/2014,5
6631350,45,24/09/2012,6
6631350,16,22/09/2012,7
6631350,45,03/10/2011,8
6631350,4,18/09/2011,9
6631350,39,05/10/2010,10
6631350,-18,02/10/2010,11
6631350,4,18/09/2010,12
6631350,39,30/12/2009,13
6631350,29,25/12/2009,14
6631350,45,14/10/2009,15
6631350,27,02/08/2009,16
6631350,28,31/07/2009,17
6631350,26,20/02/2009,18
6631350,40,13/09/2008,19
6746666,53,05/09/2017,1
6746666,68,04/09/2017,2
6746666,-18,01/09/2017,3
6746666,68,27/08/2016,4
6746666,53,02/09/2015,5
6746666,-18,01/09/2015,6
6746666,56,02/09/2014,7
6746666,60,24/08/2014,8
6746666,45,18/08/2014,9
6746666,32,24/08/2013,10
6746666,38,22/08/2013,11
6746666,11,17/08/2013,12
6746666,38,11/05/2011,13
6746666,40,26/10/2010,14
6746666,49,02/06/2010,15
6746666,29,28/05/2010,16
6746666,45,27/11/2009,17
